"id","Taxon_group","Taxon","Common_name","Synonym"
364152,89,"Stellaria media","Common Chickweed","Chickweed"
364168,89,"Succisa pratensis","Devil's-bit Scabious","Devil's-Bit Scabious"
364187,89,"Symphoricarpos albus","Snowberry",""
364218,89,"Teucrium scorodonia","Wood Sage",""
368897,89,"Thymus polytrichus/pulegioides","",""
364257,89,"Trifolium pratense","Red Clover",""
364265,89,"Trifolium repens","White Clover",""
364277,89,"Trollius europaeus","Globeflower",""
364289,89,"Typha latifolia","Bulrush","False Bulrush"
364304,89,"Ulex europaeus","Gorse","Furze"
368788,89,"Ulex gallii/minor","",""
364330,89,"Urtica dioica","Common Nettle","Nettle"
364357,89,"Vaccinium myrtillus","Bilberry","Whortleberry"
364370,89,"Vaccinium oxycoccos","Cranberry",""
364385,89,"Vaccinium vitis-idaea","Cowberry",""
364393,89,"Valeriana dioica","Marsh Valerian",""
364401,89,"Valeriana officinalis","Common Valerian",""
364418,89,"Veronica arvensis","Wall Speedwell",""
364426,89,"Veronica officinalis","Heath Speedwell","Common Speedwell"
364440,89,"Vicia cracca","Tufted Vetch",""
364450,89,"Vicia hirsuta","Hairy Tare",""
364457,89,"Viola arvensis","Field Pansy",""
364478,89,"Viola palustris","Marsh Violet",""
368997,89,"Viola reichenbachiana/riviniana","",""
