"id","Taxon_group","Taxon","Common_name","Synonym"
361485,89,"Reseda luteola","Weld",""
359175,89,"Rhamnus cathartica","Buckthorn",""
361491,89,"Rhinanthus minor","Yellow-rattle","Yellow-Rattle"
361514,89,"Rhododendron ponticum","Rhododendron",""
359183,89,"Rhynchospora alba","White Beak-sedge","White Beak-Sedge"
359189,89,"Rorippa nasturtium-aquaticum","Water-cress","Water Cress"
368746,89,"Rorippa palustris","Marsh Yellow-cress","Marsh Yellow-Cress"
361523,89,"Rosa rugosa","Japanese Rose",""
359209,89,"Rubus chamaemorus","Cloudberry",""
364670,89,"Rubus fruticosus agg.","Bramble","Blackberry"
359220,89,"Rubus saxatilis","Stone Bramble",""
361529,89,"Rumex acetosa","Common Sorrel",""
361537,89,"Rumex acetosella","Sheep's Sorrel","Sheep's Sorrel agg."
361549,89,"Rumex crispus","Curled Dock",""
368688,89,"Rumex crispus/obtusifolius","",""
359224,89,"Rumex hydrolapathum","Water Dock","Great Water Dock"
359237,89,"Ruscus aculeatus","Butcher's-broom","Butcher's-Broom"
359257,89,"Sagina apetala","Annual Pearlwort",""
359263,89,"Sagina nodosa","Knotted Pearlwort",""
361556,89,"Sagittaria sagittifolia","Arrowhead",""
361562,89,"Salix repens","Creeping Willow",""
359270,89,"Salvia verbenaca","Wild Clary","Wild Sage"
361574,89,"Sanguisorba minor","Salad Burnet",""
361577,89,"Sanguisorba officinalis","Great Burnet",""
361590,89,"Sanicula europaea","Sanicle","Wood Sanicle"
359291,89,"Saxifraga aizoides","Yellow Saxifrage","Yellow Mountain Saxifrage"
361595,89,"Saxifraga granulata","Meadow Saxifrage",""
359296,89,"Saxifraga hypnoides","Mossy Saxifrage",""
361603,89,"Saxifraga oppositifolia","Purple Saxifrage",""
359312,89,"Saxifraga stellaris","Starry Saxifrage",""
361611,89,"Saxifraga tridactylites","Rue-leaved Saxifrage",""
359320,89,"Scabiosa columbaria","Small Scabious",""
359325,89,"Schoenoplectus lacustris","Common Club-rush",""
359334,89,"Schoenus nigricans","Black Bog-rush",""
359344,89,"Scirpus sylvaticus","Wood Club-rush",""
359351,89,"Scutellaria galericulata","Skullcap",""
361618,89,"Scutellaria minor","Lesser Skullcap",""
359361,89,"Sedum acre","Biting Stonecrop",""
359372,89,"Sedum anglicum","English Stonecrop",""
361626,89,"Sedum rosea","Roseroot",""
359378,89,"Senecio aquaticus","Marsh Ragwort",""
359388,89,"Senecio erucifolius","Hoary Ragwort",""
361636,89,"Senecio jacobaea","Common Ragwort",""
359396,89,"Serratula tinctoria","Saw-wort","Saw-Wort"
361656,89,"Sherardia arvensis","Field Madder",""
359403,89,"Silaum silaus","Pepper-saxifrage",""
361663,89,"Silene dioica","Red Campion",""
368769,89,"Silene flos-cuculi","Ragged-Robin","Ragged Robin"
361687,89,"Silene latifolia","White Campion",""
359413,89,"Silene uniflora","Sea Campion",""
361698,89,"Solanum dulcamara","Bittersweet","Woody Nightshade"
359425,89,"Solidago virgaurea","Goldenrod",""
359440,89,"Sonchus arvensis","Perennial Sow-thistle","Perennial Sow-Thistle"
359450,89,"Sonchus asper","Prickly Sow-thistle","Prickly Sow-Thistle"
359461,89,"Sonchus oleraceus","Smooth Sow-thistle","Common Sow-Thistle"
361706,89,"Sorbus aucuparia","Rowan","Quicken-tree"
359474,89,"Sparganium erectum","Branched Bur-reed",""
359487,89,"Spartina anglica","Common Cord-grass",""
359499,89,"Spergularia marina","Lesser Sea-spurrey","Sea Spurrey"
359509,89,"Spergularia media","Greater Sea-spurrey","Perennial Sea Spurrey"
359524,89,"Spergularia rubra","Sand Spurrey",""
359533,89,"Spirodela polyrhiza","Greater Duckweed","Great Duckweed"
361725,89,"Stachys officinalis","Betony",""
359543,89,"Stachys palustris","Marsh Woundwort",""
361737,89,"Stellaria graminea","Lesser Stitchwort",""
361744,89,"Stellaria holostea","Greater Stitchwort",""
361758,89,"Stellaria media","Common Chickweed","Chickweed"
359550,89,"Suaeda maritima","Annual Sea-blite","Common Seablite"
361774,89,"Succisa pratensis","Devil's-bit Scabious","Devil's-Bit Scabious"
361793,89,"Symphoricarpos albus","Snowberry",""
359560,89,"Symphytum officinale","Common Comfrey",""
361824,89,"Teucrium scorodonia","Wood Sage",""
359570,89,"Thalictrum flavum","Common Meadow-rue",""
359579,89,"Thalictrum minus","Lesser Meadow-rue","Lesser Meadow-Rue"
368687,89,"Thymus polytrichus/pulegioides","",""
359608,89,"Torilis japonica","Upright Hedge-parsley","Upright Hedge-Parsley"
359620,89,"Trichophorum caespitosum s.l.","",""
359622,89,"Trientalis europaea","Chickweed-wintergreen","Chickweed Wintergreen"
359627,89,"Trifolium campestre","Hop Trefoil",""
359640,89,"Trifolium dubium","Lesser Trefoil","Lesser Yellow Trefoil"
359650,89,"Trifolium fragiferum","Strawberry Clover",""
361863,89,"Trifolium pratense","Red Clover",""
361871,89,"Trifolium repens","White Clover",""
359659,89,"Trifolium striatum","Knotted Clover","Soft Clover"
359664,89,"Triglochin maritimum","Sea Arrowgrass",""
359670,89,"Triglochin palustre","Marsh Arrowgrass",""
359675,89,"Tripleurospermum inodorum","Scentless Mayweed",""
361883,89,"Trollius europaeus","Globeflower",""
361895,89,"Typha latifolia","Bulrush","False Bulrush"
361910,89,"Ulex europaeus","Gorse","Furze"
368686,89,"Ulex gallii/minor","",""
361936,89,"Urtica dioica","Common Nettle","Stinging Nettle"
361963,89,"Vaccinium myrtillus","Bilberry","Blaeberry"
361976,89,"Vaccinium oxycoccos","Cranberry",""
361991,89,"Vaccinium vitis-idaea","Cowberry",""
361999,89,"Valeriana dioica","Marsh Valerian",""
362007,89,"Valeriana officinalis","Common Valerian",""
359690,89,"Valerianella locusta","Common Cornsalad","Cornsalad"
362024,89,"Veronica arvensis","Wall Speedwell",""
359706,89,"Veronica beccabunga","Brooklime",""
359714,89,"Veronica montana","Wood Speedwell",""
362032,89,"Veronica officinalis","Heath Speedwell","Common Speedwell"
362046,89,"Vicia cracca","Tufted Vetch",""
362056,89,"Vicia hirsuta","Hairy Tare",""
362063,89,"Viola arvensis","Field Pansy",""
359722,89,"Viola hirta","Hairy Violet",""
359733,89,"Viola lutea","Mountain Pansy",""
362084,89,"Viola palustris","Marsh Violet",""
368996,89,"Viola reichenbachiana/riviniana","",""
