id,informal_group,scientific_name,common_name
359741,89,Achillea millefolium,Common name
358099,89,Acinos acinos,laa  nn
358100,89,Acinos arvensis,Common name
360150,89,Acrocentron scabiosa,laa  nn
360138,89,Acrocentron scabiosa,
360371,87,Acrostichum crispum,
357844,87,Acrostichum ruta-muraria,
359959,87,Acrostichum spicant,
357722,89,Aethusa cynapium,
357731,89,Agrimonia eupatoria,
357732,89,Agrimonia eupatoria var. sepium,
358375,89,Agropyron pungens,
358370,89,Agropyron pungens,
358357,89,Agropyron pycnanthum,
358374,89,Agropyron pycnanthum,
357745,89,Agrostis capillaris,
357746,89,Agrostis tenuis,
357747,89,Agrostis vulgaris,
358904,89,Aira caerulea,
360408,89,Aira cespitosa,
358308,89,Aira flexuosa,
359754,89,Ajuga reptans,
359764,89,Alchemilla alpina,
359771,89,Alisma gluckii,
359770,89,Alisma plantago-aquatica,
359777,89,Allium ursinum,
361433,87,Allosorus aquilinus,
361417,87,Allosorus aquilinus,
360372,87,Allosorus crispus,
358378,99,Allostelites arvense,
359786,89,Alnus alnus,
359784,89,Alnus glutinosa,
359793,89,Alnus glutinosa,
359787,89,Alnus rotundifolia,
357761,89,Alopecurus agrestis,
357753,89,Alopecurus geniculatus,
357759,89,Alopecurus myosuroides,
357760,89,Alopecurus myosuroides,
359511,89,Alsine marginata,
361770,89,Alsine media,
361760,89,Alsine media,
359526,89,Alsine rubra,
358892,89,Alsine verna,
361761,89,Alsinula media,
357845,87,Amesium ruta-muraria,
357771,89,Ammophila arenaria,
357772,89,Ammophila arundinacea,
361872,89,Amoria repens,
359794,89,Anagallis arvensis,
359809,89,Anagallis tenella,
359816,89,Anemone nemorosa,
359817,89,Anemonoides nemorosa,
359831,89,Angelica sylvestris,
359840,89,Antennaria dioica,
359839,89,Antennaria dioica,
359843,89,Antennaria dioica var. dioica,
359844,89,Antennaria dioica var. hyperborea,
359841,89,Antennaria hibernica,
359842,89,Antennaria hyperborea,
357786,89,Anthemis cotula,
361020,89,Anthericum ossifragum,
357813,89,Anthoxanthum alpinum,
357812,89,Anthoxanthum alpinum,
357796,89,Anthoxanthum odoratum,
357798,89,Anthoxanthum odoratum subsp. alpinum,
359855,89,Anthriscus sylvestris,
359868,89,Anthyllis maritima,
359870,89,Anthyllis maritima,
359873,89,Anthyllis rubra,
359869,89,Anthyllis rubra,
359867,89,Anthyllis vulneraria,
360802,89,Antirrhinum elatine,
358064,89,Antirrhinum minus,
358730,89,Antirrhinum spurium,
359886,89,Apium graveolens,
359899,89,Apium graveolens subsp. dulce,
359900,89,Apium graveolens subsp. dulce,
357815,89,Apium nodiflorum,
357824,89,Arabis brownii,
357836,89,Arabis brownii,
357825,89,Arabis ciliata,
357826,89,Arabis hibernica,
357822,89,Arabis hirsuta,
357823,89,Arabis hirsuta subsp. brownii,
357839,89,Arbutus uva-ursi,
368683,89,Arctium minus agg.,
368680,89,Arctium minus agg.,
368682,89,Arctium minus agg.,
368681,89,Arctium minus/nemorosum,
357838,89,Arctostaphylos uva-ursi,
357837,89,Arctostaphylos uva-ursi,
358893,89,Arenaria gerardi,
359514,89,Arenaria media,
358619,89,Arenaria peploides,
359527,89,Arenaria rubra,
359501,89,Arenaria rubra var. marina,
361009,89,Arenaria trinervia,
358894,89,Arenaria verna,
359902,89,Armeria maritima,
359901,89,Armeria maritima,
359903,89,Arum maculatum,
357774,89,Arundo arenaria,
361153,87,Aspelenium scolopendrium,
360571,89,Asperula odorata,
368954,87,Aspidium dentatum,
358572,87,Aspidium dryopteris,
368955,87,Aspidium fragile,
358984,87,Aspidium odoriferum,
358973,87,Aspidium oreopteris,
368956,87,Aspidium regium,
368957,87,Aspidium trifidum,
361420,87,Asplenium aquilinum,
360184,87,Asplenium ceterach,
361156,87,Asplenium elongatum,
357846,87,Asplenium murale,
357847,87,Asplenium murorum,
357843,87,Asplenium ruta-muraria,
361154,87,Asplenium scolopendrium,
361157,87,Asplenium scolopendrium subsp. officinale,
360186,87,Asplenium sinuatum,
359920,87,Asplenium trichomanes,
359921,87,Asplenium trichomanoides,
360187,87,Asplenium vulgare,
358695,89,Aster conyzae,
359926,89,Aster tripolium,
368958,87,Athyrium dentatum,
368959,87,Athyrium regium,
364651,89,Atriplex,
357856,89,Atriplex portulacoides,
358592,89,Avena pratensis,
358593,89,Avenochloa pratense,
358597,89,Avenochloa pratensis,
358594,89,Avenula pratense,
358595,89,Avenula pratensis,
357869,87,Azolla caroliniana,
357867,87,Azolla filiculoides,
357868,87,Azolla filiculoides var. filiculoides,
357870,87,Azolla pinnata,
359113,89,Baldingera arundinacea,
359935,89,Bellis perennis,
357875,89,Berula erecta,
357876,89,Berula erecta,
359944,89,Beta vulgaris,
361727,89,Betonica officinalis,
359788,89,Betula alnus var. glutinosa,
368684,89,Betula pubescens/pendula,
357888,89,Bidens peacockii,
357887,89,Bidens tripartita,
361143,89,Bistorta major,
361142,89,Bistorta officinalis,
359088,89,Bistorta vivipara,
359094,89,Bistorta vivipara,
359950,89,Blackstonia perfoliata,
359949,89,Blackstonia perfoliata,
359960,87,Blechnum boreale,
360373,87,Blechnum crispum,
361158,87,Blechnum linguifolium,
359957,87,Blechnum spicant,
360188,87,Blechnum squamosum,
368921,89,Brachypodium pinnatum agg.,
368923,89,Brachypodium pinnatum agg.,
368924,89,Brachypodium pinnatum agg.,
368922,89,Brachypodium pinnatum s.l.,
359972,89,Briza media,
357897,89,Bromopsis erecta,
357896,89,Bromopsis erecta,
357898,89,Bromus erecta,
357899,89,Bromus erectus,
357906,89,Bromus hordeaceus,
359986,89,Buddleja davidii,
359985,89,Buddleja davidii,
358121,89,Bunium majus,
360071,89,Bursa pastoris,
360085,89,Bursa pastoris,
360084,89,Bursa pastoris,
360072,89,Bursa penarthae,
357914,89,Butomus umbellatus,
358101,89,Calamintha acinos,
359993,89,Calluna vulgaris,
360019,89,Caltha minor,
360012,89,Caltha palustris,
360017,89,Caltha palustris polypetala,
360020,89,Caltha palustris subsp. flabellifolia,
360039,89,Caltha palustris subsp. minor,
360041,89,Caltha palustris subsp. minor,
360014,89,Caltha palustris subsp. palustris,
360013,89,Caltha palustris subsp. radicans,
360018,89,Caltha palustris var. flabellifolia,
360034,89,Caltha palustris var. flabellifolia,
360016,89,Caltha radicans,
360040,89,Caltha radicans,
360042,89,Calystegia sepium,
360043,89,Calystegia sepium agg.,
360052,89,Campanula gieseckiana,
360067,89,Campanula giesekiana,
360066,89,Campanula giesekiana,
360044,89,Campanula glomerata,
357920,89,Campanula latifolia,
360050,89,Campanula rotundifolia,
357928,89,Campanula trachelium,
360175,89,Capnoides claviculata,
360069,89,Capsella bursa-pastoris,
360070,89,Capsella bursa-pastoris,
360073,89,Capsella penarthae,
360087,89,Cardamine crassifolia,
360116,89,Cardamine crassifolia,
360093,89,Cardamine dentata,
360095,89,Cardamine dentata var. palustris,
360120,89,Cardamine hayneana,
360088,89,Cardamine hayneana,
360119,89,Cardamine matthioli,
360118,89,Cardamine matthioli,
360089,89,Cardamine matthioli,
360090,89,Cardamine nymanii,
360091,89,Cardamine palustris,
360086,89,Cardamine pratensis,
360094,89,Cardamine pratensis subsp. paludosa,
360092,89,Cardamine rivularis,
360235,89,Carduus acaulos,
360245,89,Carduus arvensis,
358080,89,Carduus dissectus,
358091,89,Carduus helenioides,
358088,89,Carduus heterophyllus,
360268,89,Carduus lanceolatus,
357937,89,Carduus nutans,
360259,89,Carduus palustris,
358076,89,Carduus pratensis,
360271,89,Carduus vulgaris,
357982,89,Carex acuta var. nigra,
358024,89,Carex ampullacea,
358025,89,Carex ampullacea,
357945,89,Carex arenaria,
357944,89,Carex arenaria,
357953,89,Carex bigelowii,
357952,89,Carex bigelowii,
357957,89,Carex bigelowii subsp. nardeticola,
357960,89,Carex bigelowii subsp. rigida,
357956,89,Carex bigelowii subsp. rigida,
357954,89,Carex concolor,
357999,89,Carex cuprina,
357990,89,Carex cuprina,
357998,89,Carex cuprina,
357964,89,Carex diversicolor,
357978,89,Carex eboracensis,
368739,89,Carex echinata,
357963,89,Carex flacca,
357962,89,Carex flacca,
357979,89,Carex gibsoni,
357965,89,Carex glauca,
357988,89,Carex goodenowii,
357980,89,Carex goodenowii,
358018,89,Carex inflata,
357981,89,Carex juncella,
357946,89,Carex ligerica,
357970,89,Carex limosa,
357991,89,Carex nemorosa,
357977,89,Carex nigra,
357989,89,Carex otrubae,
358000,89,Carex panicea,
360122,89,Carex paniculata,
360129,89,Carex pendula,
360130,89,Carex pendula,
358005,89,Carex pulicaris,
358011,89,Carex remota,
357955,89,Carex rigida,
358016,89,Carex rostrata,
368740,89,Carex stellulata,
358027,89,Carex sylvatica,
358026,89,Carex sylvatica,
357983,89,Carex vulgaris,
358034,89,Carlina vulgaris,
364661,89,Carpobrotus acinaciformis,
